path,bytes,duration_s,codec,channels,sample_rate,mtime_utc
"/home/zax/Biz/z-dot-team/content/experiments/lmms/1_Kick.wav",2976344,16.872200,pcm_s16le,2,44100,"2026-09-12 00:26:02.045227504 -0400"
"/home/zax/Biz/z-dot-team/content/experiments/lmms/2_Snare.wav",2976344,16.872200,pcm_s16le,2,44100,"2026-09-12 00:26:02.045227504 -0400"
"/home/zax/Biz/z-dot-team/content/experiments/lmms/3_Clap.wav",2976344,16.872200,pcm_s16le,2,44100,"2026-09-12 00:26:02.045227504 -0400"
"/home/zax/Biz/z-dot-team/content/experiments/lmms/4_Hat.wav",2976344,16.872200,pcm_s16le,2,44100,"2026-09-12 00:26:02.049227539 -0400"
"/home/zax/Biz/z-dot-team/content/experiments/lmms/5_OpenHat.wav",2976344,16.872200,pcm_s16le,2,44100,"2026-09-12 00:26:02.049227539 -0400"
"/home/zax/Biz/z-dot-team/content/experiments/lmms/6_Crash.wav",2976344,16.872200,pcm_s16le,2,44100,"2026-09-12 00:26:02.049227539 -0400"
"/home/zax/Biz/z-dot-team/content/experiments/lmms/7_Bass.wav",2976344,16.872200,pcm_s16le,2,44100,"2026-09-12 00:26:02.049227539 -0400"
"/home/zax/Biz/z-dot-team/content/experiments/lmms/8_Stab.wav",2976344,16.872200,pcm_s16le,2,44100,"2026-09-12 00:26:02.053227574 -0400"
"/home/zax/Biz/z-dot-team/content/experiments/lmms/beat-16bar.mmp",60211,NA,NA,NA,NA,"2026-09-12 00:40:01.986646525 -0400"
"/home/zax/Biz/z-dot-team/content/experiments/lmms/beat-16bar.mp3",766790,31.921633,mp3,2,44100,"2026-09-12 00:40:10.650716679 -0400"
"/home/zax/Biz/z-dot-team/content/experiments/lmms/beat-16bar-stems/1_Kick.wav",5622360,31.872290,pcm_s16le,2,44100,"2026-09-12 00:40:09.850710220 -0400"
"/home/zax/Biz/z-dot-team/content/experiments/lmms/beat-16bar-stems/2_Snare.wav",5622360,31.872290,pcm_s16le,2,44100,"2026-09-12 00:40:08.998703336 -0400"
"/home/zax/Biz/z-dot-team/content/experiments/lmms/beat-16bar-stems/3_Clap.wav",5622360,31.872290,pcm_s16le,2,44100,"2026-09-12 00:40:08.134696351 -0400"
"/home/zax/Biz/z-dot-team/content/experiments/lmms/beat-16bar-stems/4_Hat.wav",5622360,31.872290,pcm_s16le,2,44100,"2026-09-12 00:40:07.302689621 -0400"
"/home/zax/Biz/z-dot-team/content/experiments/lmms/beat-16bar-stems/5_OpenHat.wav",5622360,31.872290,pcm_s16le,2,44100,"2026-09-12 00:40:05.862677964 -0400"
"/home/zax/Biz/z-dot-team/content/experiments/lmms/beat-16bar-stems/6_Crash.wav",5622360,31.872290,pcm_s16le,2,44100,"2026-09-12 00:40:05.030671223 -0400"
